Cause,Title,No_of_victims
Falls, Employee'S Hand Is Crushed In Mechanical Power Press ,Single
Falls, Employee'S Finger Is Injured In Press ,Single
Struck By Moving Objects, Employee Suffers Burns And Crushed Fingers ,Single
Struck By Moving Objects, Employee'S Finger Is Amputated In Metal Tube Flare Machine ,Single
Falls, Employee Injured When Operating A Hydraulic Press ,Single
Falls, Employee Injures Finger While Operating Power Press ,Single
Electrocution, Employee Injured When Finger Amputated In Punch Press ,Single
Other, Employee Dies  Not Work Related ,Single
Struck By Moving Objects, Employee Is Killed Checking Rear Airbrakes On His Truck ,Single
Electrocution, Employee Is Killed Working On A Truck ,Single
Struck By Moving Objects, Employee Is Killed When Pinned Under A Flatbed Truck ,Single
Struck By Moving Objects, Employee Is Killed When Tractor Rolled Over ,Single
Struck By Moving Objects, Employee Killed When Pinned By Slab Of Concrete ,Single
Struck By Moving Objects, Aircraft Mechanic Injured In 20 Foot Fall ,Single
Struck By Moving Objects, Concrete Floor Slab Collapse While Being Removed From Below ,Single
Other, Employee Killed By Falling Piece Of Concrete Footing ,Single
Falls, Bearing Wall Fell Into Adjacent Excavation Onto Employees ,Multiple
Falls, Employee Dies From Injuries When Struck By Falling Pipe ,Single
Struck By Moving Objects, Employee Is Killed In Trench Cave,Single
Struck By Moving Objects, Electric Shock ,Single
Struck By Moving Objects, Employee Is Killed When Underground Tank Explodes ,Single
Falls, Contractor Is Killed When Wall Collapses During Demolitiion ,Single
Struck By Moving Objects, Employee Is Burned By Electric Shock From Underground Line ,Single
Struck By Moving Objects, Employee Shocked When Tool Contacts Buried Power Line ,Single
Struck By Moving Objects, Employee Injured By High,Single
Struck By Moving Objects, Electric Shock ,Single
Struck By Moving Objects, Employee Is Shocked By Underground Electric Cable ,Single
Struck By Moving Objects, Utility Worker Is Shocked While Testing Utility Cable ,Single
Struck By Moving Objects, Schoolteacher Sustains Fracture In Slip And Fall ,Single
Struck By Moving Objects, Equipment Operator Lacerates Hand In Overturn Of Forklift ,Single
Struck By Moving Objects, Employee Fractures Ankle After Slipping Off Curb ,Single
Falls, Employee Is Injured In Fall From Aerial Lift Basket ,Single
Falls, Farm Worker Sustains Brain Injury In Fall From Trailer ,Single
Struck By Moving Objects, Employee Is Injured In Slip And Fall Incident ,Single
Electrocution, Employee Is Killed When Tractor Rolls Over ,Single
Struck By Moving Objects, Employee Is Injured In Trip And Fall On Sidewalk ,Single
Struck By Moving Objects, Carptenter Is Killed In Fall From Second Story Opening ,Single
Struck By Moving Objects, Worker Falls Through Mezzanine Opening To The Floor Below ,Single
Struck By Moving Objects, Employee Falls And Later Dies ,Single
Struck By Moving Objects, Employee'S Wrist Is Fractured Falling From Attic ,Single
Struck By Moving Objects, Window Installer Is Injured After Stepping In Floor Opening ,Single
Falls, Employee Receives Injuries From Fall Through Floor Opening ,Single
Struck By Moving Objects, Worker Drowns In Paper Pulping Machine ,Single
Electrocution, Employee Receives Multiple Fractures In Fall Through Floor ,Single
Struck By Moving Objects, Employee Is Killed In Fall Through Elevator Shaft ,Single
Other, Metal Worker Is Caught And Killed In Polishing Machine ,Single
Struck By Moving Objects, Employee'S Arm Is Injured In Mixer ,Single
Struck By Moving Objects, Employee'S Calf Is Lacerated When Pantleg Becomes Entangled ,Single
Struck By Moving Objects, Employee Injured By Electric Shock From Wire  Later Dies ,Single
Falls, Employee Electrocuted While Working On Switchgear ,Single
Other, Bakery Employee Amputates One Finger And Lacerates Others ,Single
Struck By Moving Objects, Employee Finger Amputated When Using A Band Saw ,Single
Caught in/between Objects, Employee Amputates Thumb On Conveyor Belt Sprocket Drive ,Single
Struck By Moving Objects, Electric Shock ,Single
Falls, Employee Lacerates Three Fingers While Using Table Saw ,Single
Collapse of object, Employee Electrocuted Working On Energized Conductor ,Single
Struck By Moving Objects, Employee Amputates Fingers While Using Shear Machine ,Single
Exposure to extreme temperatures, Individual Is Killed When Run Over By Truck ,Single
Struck By Moving Objects, Employee Killed When Caught By Rotating Shaft ,Single
Collapse of object, Construction Employee Run Over By Dump Truck ,Single
Collapse of object, Employee Entangled In Universal Joint Of Truck Drive Shaft ,Single
Fires and Explosion, Caught By U,Single
Other, Worker Struck By Unmanned Industrial Cart ,Single
Suffocation, Employee Is Killed When Struck By Runaway Roller ,Single
Suffocation, Employee Is Injured When Caught In Tractor Tracks ,Single
Falls, Worker Killed Attempting To Stop A Runaway Rail Car ,Single
Struck By Moving Objects, Employee Is Killed When Run Over By Own Delivery Truck ,Single
Suffocation, Employee Dies After Being Crushed Between Trucks ,Single
Falls, Employee Is Killed When Caught Between Forklift And Vehicle ,Single
Suffocation, Falling Hay Bales Injure Employee ,Single
Suffocation, Farm Owner Run Over By Tractor ,Single
Suffocation, Employee Killed When Struck By Pipelayer Tractor ,Single
Suffocation, One Employee Killed  One Injured  By Runaway Truck ,Single
Suffocation, Employee'S Leg Is Struck And Fractured By Falling Granite ,Single
Suffocation, Roofer Is Hospitalized After Falling From Roof ,Single
Suffocation, Employee Is Struck And Killed By Truck Load ,Single
Suffocation, Employee Falls Through Unsecured Panel  Fractures Leg ,Single
Fires and Explosion, Employee Falls Through Floor  Fractures Wrist And Vertebra ,Single
Suffocation, Employee Injured In Fall From Roof When Panel Gives Way ,Single
Other, Ironworker Falls When Steel Piece Covering Opening Gives Way ,Single
Suffocation, Carpenter Sustains Fractures In Fall From Roof ,Single
Suffocation, Employee Sustains Only Bruises In Fall Through Opening ,Single
Fires and Explosion, Granite Panels Strike Woker Who Suffers Multiple Fractures ,Single
Suffocation, Employee Injured In Fall When Scaffold Overturns ,Single
Suffocation, Employee Is Killed When Prefabricated Panels Fall Over ,Single
Suffocation, Employee Is Killed While Unloading Glass Sheets ,Single
Suffocation, Employee Is Killed In Fall From Roof ,Single
Suffocation, Employee Falls Backward From Scaffold And Later Dies ,Single
Fires and Explosion, Employee Is Injured By Falling Load From Forklift ,Single
Fires and Explosion, Employee Sustains Leg Fracture When Machine Falls Onto Leg ,Single
Falls, Carpenter'S Finger Is Severed When Cabinet Slips Off Pry Bar ,Single
Suffocation, Fire Fighter Injures Knee In Fall Responding To A Call ,Single
Falls, Recycling Facility Worker Is Killed By Collapsing Paper Bale ,Single
Falls, Excavation Collapses And Injures Worker ,Single
Falls, Employee'S Leg Is Fractured While Operating Pallet Jack ,Single
Falls, Employee Is Injured In Fall From Aerial Lift ,Single
Other, Employee Dies From Injuries After Excavator Accident ,Single
Falls, Employee Breaks Leg In Slide Down Excavation Slope ,Single
Struck By Moving Objects, Employee Is Injured After Excavator Collides With Dump Truck ,Single
Struck By Moving Objects, Employee Is Killed When Crushed By Collapsing Wall ,Single
Falls, Employee Is Killed In Collapse; Another Is Injured ,Single
Falls, Employee Is Killed In Trench Collapse ,Single
Falls, Employee Falls Through Compromised Roofing Material ,Single
Falls, Employee Falls From Ladder  Fractures Leg ,Single
Falls, Greenhouse Repair Worker Sustains Fractures In Fall ,Single
Falls, Employee Falls Through Skylight  Fractures Skull  Hip  Other ,Single
Falls, Employee Slips And Falls  Fractures Leg ,Single
Electrocution, Employee Trips And Falls  Sustains Hip Fracture ,Single
Struck By Moving Objects, Logger Sustains Concussion In Fall Onto Stump ,Single
Falls, Employee Is Injured In Fall Through Roof ,Single
Struck By Moving Objects, Struck By Flange Beam ,Single
Struck By Moving Objects, Utility Pole Strikes And Kills Worker ,Single
Caught in/between Objects, Employee Fractures Leg And Hip In Fall From Ladder ,Single
Struck By Moving Objects, Utility Worker Injured In Thirty,Single
Falls, Employee Is Shocked While Installing Power Line Pole ,Single
Collapse of object, Employee'S Finger Is Amputated When Caught In Pulley ,Single
Fires and Explosion, Worker'S Finger Is Amputated By In,Single
Struck By Moving Objects, Worker Amputates Finger Between Belt And Roller ,Single
Falls, Employee Amputates Fingers When Caught In Pulley Belt ,Single
Struck By Moving Objects, Employee'S Finger Tip Amputated After Being Caught By Belt ,Single
Other, Employee Amputates Finger That Is Caught In V,Single
Other, Employee Amputates Fingertip When Drill Press Is Turned On ,Single
Falls, Employee Amputates Finger When Caught In Moving V,Single
Falls, Employee Amputates Finger In V,Single
Struck By Moving Objects, Employee'S Finger Amputated After Being Caught In Belts ,Single
Falls, Employee Hospitalized With Amputated Finger ,Single
Falls, Employee Injured While Reaching Into Machine ,Single
Falls, Employee Amputates Finger From Movement Of Pulley And V,Single
Falls, Employee Suffers Amputation Of Finger ,Single
Struck By Moving Objects, Employee Suffers Amputation Of Finger ,Single
Struck By Moving Objects, Employee Injured When Thumb Caught In V,Single
Electrocution, Employee Suffers Thumb Amputation ,Single
Other, Employee'S Finger Injured In Belt And Pulley Drive ,Single
Struck By Moving Objects, Employee'S Arm Is Injured When Sucked Up By Vacuum ,Single
Struck By Moving Objects, Employee'S Finger Is Amputated By Router ,Single
Caught in/between Objects, Worker Jumps From An Unstable Ladder And Fractures Wrist ,Single
Struck By Moving Objects, Electric Shock ,Single
Other, Employee Is Caught In A Conveyor And Is Killed ,Single
Falls, Employee Lacerates Hand While Working On Live Vacuum Cleaner ,Single
Other, Employee Collapses While Working ,Single
Falls, Employee Dies After Being Struck By Vacuum Cleaner ,Single
Other, Employee Is Injured When Struck By Falling Object ,Single
Falls, Employee Injures Head In Fall From Truck Cabin ,Single
Other, Employee Killed In Gasoline Explosion ,Single
Other, Employee Injured When Turf Vacuum Strikes Light Pole ,Single
Struck By Moving Objects, Employee Killed In Fall From Manway In Tank ,Single
Falls, Two Employees Burn Faces And Hands Charging A Kettle ,Multiple
Falls, Employee Is Burned By Hot Brine ,Single
Falls, Employee Is Killed In Three Vehicle Traffic Collision ,Single
Falls, Employee Injured In Flash Fire ,Single
Falls, Employee Struck By Extractor Unit ,Single
Falls, Employee'S Feet Chemically Burned While Cleaning Truck ,Single
Falls, Three Employees Injured While Pressure Testing Tank ,Multiple
Falls, Employee Suffers Finger Amputation ,Single
Falls, Two Employees Injured In Explosion Of Perchlorate Powder ,Multiple
Falls, Employee Dies Of Burns Sustained Tank Truck Fire ,Single
Falls, Welder Dies From Burns Caused By Vapors Igniting ,Single
Falls, Employee Suffers Burns From Fall ,Single
Falls, Employee Suffers Carbon Monoxide Poisoning ,Single
Struck By Moving Objects, Employee Is Burned By Pressurized Food Flavoring ,Single
Struck By Moving Objects, Employee Is Killed By Exploding Metal Drum ,Single
Struck By Moving Objects, Two Employees Burned When Paint Fumes Ignite ,Multiple
Caught in/between Objects, Worker Is Burned When Propane Gas Release Ignites ,Single
Caught in/between Objects, Employee Is Killed When Propane Escapes And Catches On Fire ,Single
Caught in/between Objects, Sewer Gas Ignites Burning Employee ,Single
Caught in/between Objects, High,Single
Struck By Moving Objects, Employee Dies After Falling Through Skylight ,Single
Struck By Moving Objects, Employee Fractures Back In Fall From Attic To Floor ,Single
Caught in/between Objects, Employee Dies In Explosion ,Single
Struck By Moving Objects, Employee Is Killed In Fall From Fork Truck Forks ,Single
Exposure to extreme temperatures, Employee Falls To His Death ,Single
Struck By Moving Objects, Employee Dies Of Cardiac Arrest ,Single
Struck By Moving Objects, Employee Dies Of A Heart Attack ,Single
Struck By Moving Objects, Employee Struck By Flying Pieces Of Metal ,Single
Struck By Moving Objects, Worker Falls From Roof And Sustains Multiple Fractures ,Single
Falls, Employee Fractures Back In Fall From Third Floor ,Single
Falls, Employee Is Killed When Trapped Between Counterweight Door ,Single
Collapse of object, Employee Is Injured On Moving Assembly Unit ,Single
Falls, Employee Fatally Injured By A Vertical Lift Carriage ,Single
Electrocution, Employee'S Finger Amputated While Cleaning Screw Conveyor ,Single
Collapse of object, Amputation Of Toes When Riding Material Hoist. ,Single
Electrocution, Tree Trimmer Is Paralyzed From Navel Down In Fall From Tree ,Single
Electrocution, Worker Is Struck And Killed By Falling Wind Machine Blade ,Single
Electrocution, Employee Is Struck By A Metal Disc And Is Killed ,Single
Falls, Employee'S Finger Amputated By Saw When Wood Kicks Back ,Single
Falls, Employee Injured When Crushed By Collapsing Concrete Wall ,Single
Struck By Moving Objects, Employee Killed When Struck By Collapsing Pile Of Soil ,Single
Struck By Moving Objects, Employee Injured In Trench Cave,Single
Falls, Employee Is Injured When Struck By Falling Equipment ,Single
Falls, Employee'S Hand Is Amputated In Screw Press Auger ,Single
Falls, Employee Fell 11 Feet And Fractured His Shoulder ,Single
Struck By Moving Objects, Employee Severs Two Fingers While Operating Press ,Single
Falls, Employees Struck By Slab Of Concrete ,Multiple
Falls, Employee Killed After Fall While Using A Jackhammer ,Single
Falls, Employee Crushed In Trench Collapse ,Single
Falls, Employee Killed In Fall From Concrete Forms ,Single
Falls, Employee Crushed When Vibrating Roller Overturned Onto Him ,Single
Falls, Crushed By Roller Vibrator That Tipped And Rolled Over ,Single
Drowning, Thrown From Vehicle During Accident ,Single
Struck By Moving Objects, Employee Electrocuted While Splicing Together Power Line ,Single
Caught in/between Objects, Employee Killed When Power Backfed Through Generator ,Single
Fires and Explosion, Employee Injured By Electric Shock From Contact With Busbar ,Single
Other, Employee Is Electrocuted While Preparing Aerial Manlift ,Single
Other, Electric Shock & Burn ,Single
Caught in/between Objects, Electric Shock ,Single
Electrocution, Electric Shock ,Single
Other, Electric Shock ,Single
Other, Electric Shock ,Single
Struck By Moving Objects, Electric Shock ,Single
Struck By Moving Objects, Electric Shock ,Single
Struck By Moving Objects, Electric Shock ,Single
Falls, Electric Shock ,Single
Struck By Moving Objects, Electric Shock ,Single
Struck By Moving Objects, Electric Shock ,Single
Struck By Moving Objects, Electric Shock ,Single
Struck By Moving Objects, Electric Shock And Burns ,Single
Struck By Moving Objects, Employee Is Hospitalized For Severe Heat Exhaustion ,Single
Struck By Moving Objects, Employee Dies From Unspecified Causes ,Single
Collapse of object, Employee Becomes Dehydrated While Moving Pipes In Field ,Single
Struck By Moving Objects, Derrick Worker Suffers Abdominal Pains ,Single
Struck By Moving Objects, Employee Falls And Fractures His Skull ,Single
Struck By Moving Objects, Employee Collapses While Changing Tire  Later Dies ,Single
Struck By Moving Objects, Five Employees Are Exposed To Noxious Fumes ,Multiple
Falls, Employee Suffers From Heat Exhaustion ,Single
Struck By Moving Objects, Employee'S Hand Caught In Belt And Pulley Drive ,Single
Falls, Employee Gets Fractures After Being Crushed By Machine ,Single
Collapse of object, Employee Is Run Over By Wagon And Is Killed ,Single
Other, Farm Owner Is Crushed And Killed By Wagon ,Single
Falls, Two Farm Workers Injured When Wagon Strikes A Tree ,Multiple
Falls, Employee Killed In Fall From Wagon ,Single
Falls, Employee Is Injured When Struck By Bale Of Hay ,Single
Falls, Employee Flips Load And Falls Out Of Cab ,Single
Falls, Employee Is Killed When Wheel Of Gravity Wagon Strikes Him ,Single
Falls, Farm Worker Is Killed When Pinned Between Farm Machinery ,Single
Struck By Moving Objects, Employee Fractures Hip And Wrist In Same,Single
Struck By Moving Objects, Employee Killed By Falling Hay Wagon ,Single
Falls, Employee Hospitalized After Being Run Over By Pallet Wagon ,Single
Falls, Employee'S Ankle Crushed Between Tire And Gondola ,Single
Electrocution, Two Employees Killed And Two Injured While Riding On Wagon ,Multiple
Struck By Moving Objects, Employee Falls From Walkboard While Framing Home  Later Dies ,Single
Other, Truck Driver Is Killed When Walkboard To Truck Falls ,Single
Struck By Moving Objects, Employee Is Injured In Fall Through Open Floor Grate ,Single
Struck By Moving Objects, Employee Falls When Walkway Collapses ,Single
Other, Employee Is Killed When Concrete Walkway Collapses ,Single
Caught in/between Objects, Employee Sustains Injuries In Fall From Runway ,Single
Other, Employee Sustains Injuries In Trip And Fall Accident ,Single
Caught in/between Objects, Employee Falls From Walkway And Fractures Several Bones ,Single
Caught in/between Objects, Employee Amputates Thumb While Using Pallet Jack ,Single
Struck By Moving Objects, Worker Suffers Leg Fracture While Operating A Pallet Truck ,Single
Other, Employee'S Leg Is Fractured By Pallet Jack ,Single
Struck By Moving Objects, Employee Is Killed In Fall From Pallet Rack ,Single
Struck By Moving Objects, Forklift Driver Fractures Legs In Vehicular Collision ,Single
Caught in/between Objects, Employee Fractures Finger In Industrial Truck Accident ,Single
Caught in/between Objects, Employee Is Injured In Collision With Forklift ,Single
Other, Employee Fractures Hip While Operating Pallet Jack ,Single
Caught in/between Objects, Worker Suffers Ankle Injury When Struck By Forklift ,Single
Struck By Moving Objects, Worker Fractures Leg In Pallet Jack Accident ,Single
Other, Employee'S Finger Is Crushed By Pallet Jack ,Single
Other, Employee Dies After Falling From A Lift Truck ,Single
Falls, Stocker Breaks Leg  Foot When Slips Under Pallet Jack ,Single
Electrocution, Employee Injured When Struck By Falling Fork Lift ,Single
Caught in/between Objects, Employee Injured When Run Over By Walkie Truck ,Single
Other, Employee'S Toes Amputated After Pallet Jack Collision ,Single
Collapse of object, Employee'S Head Lacerated By Falling Wine Barrel ,Single
Struck By Moving Objects, Worker Injures Spinal Cord And Fractures Vertrebra In Fall ,Single
Struck By Moving Objects, Employee'S Foot Is Crushed When Backed Over By Forklift ,Single
Falls, Carpenter Is Injured In Fall Through Floor Opening ,Single
Fires and Explosion, Employee'S Pelvis Is Fractured In Fall From Roof ,Single
Other, Employer Is Injured In Fall From Roof ,Single
Fires and Explosion, Sheet Metal Worker Fractures Arm In Fall From Roof ,Single
Other, Employee Is Injured In Fall Through Skylight ,Single
Struck By Moving Objects, Employee Amputates Finger With Base Of Trim Die ,Single
Fires and Explosion, Employee Injured In Fall When Beam Pulls Free And Tips Up ,Single
Struck By Moving Objects, Employee Injured When Knocked Off Beam By Shifting Trusses ,Single
Other, Employee Injured In Fall While Walking On Beam ,Single
Other, Employee Killed In Fall From Steel,Single
Caught in/between Objects, Employee Fractures Leg And Foot In Fall From Beam ,Single
Fires and Explosion, Employee Is Injured In Fall From Bridge Overpass Beam ,Single
Fires and Explosion, Employee Killed In Fall From Steel Beam ,Single
Falls, Employee Is Injured In Fall From Ceiling Joist ,Single
Other, Employee Fractures Both Hips In Fall Through Drywall ,Single
Fires and Explosion, Employee Injured In Fall While Trimming Top Plate Of Truss ,Single
Fires and Explosion, Employee Injured In Fall From Wood Truss To Cement Floor ,Single
Fires and Explosion, Employee Dies When He Falls Through Sixth,Single
Fires and Explosion, Employee Fell From Unguarded Walkway ,Single
Fires and Explosion, Employee Is Killed In Fall From Catwalk ,Single
Electrocution, Employee'S Leg Is Broken In Fall From Elevated Plank ,Single
Falls, Employee'S Leg Impaled On Rebar In Fall With Plank ,Single
Fires and Explosion, Employee Injured In Fall While Dismantling Scaffold ,Single
Struck By Moving Objects, Employee Injured In Fall From Unsupported Plank ,Single
Electrocution, Employee Injured In Fall From Narrow Plank ,Single
Other, Employee Injured In Fall From Second Tier Of Scaffold ,Single
Struck By Moving Objects, Employee Injured In Fall When Plywood Plank Breaks ,Single
Falls, Employee Fractures Ankle In Fall Through Scaffold Planks ,Single
Struck By Moving Objects, Employee Injured In Fall Into Hole For Building Footing ,Single
Caught in/between Objects, Employee Injured In Fall When Scaffold Plank Shifts ,Single
Falls, Employee Paralyzed By Spinal Injury In Fall From Joists ,Single
Other, Employee Is Injured In Fall From Plank Across False,Single
Caught in/between Objects, Employee Killed In Fall From Scaffold ,Single
Falls, Employee Is Injured In Fall Off Board Used For Ramp ,Single
Struck By Moving Objects, Employee Falls From A Walking Platform ,Single
Struck By Moving Objects, Employee Fractures Arm In Slip And Fall On Sidewalk ,Single
Struck By Moving Objects, Employee Injured When Falling Truss Strikes Leg ,Single
Struck By Moving Objects, Employee Killed In Backward Fall From Roof ,Single
Falls, Employee Injured In Fall When Atv Drives Off Roof ,Single
Caught in/between Objects, Employee Struck By Insulation Is Killed In Fall From Roof ,Single
Struck By Moving Objects, Employee Sustains Contusions When Compactor Rolls Over ,Single
Other, Roofer Injured In Fall Through Roof ,Single
Falls, Employee Killed In Fall From Roof ,Single
Struck By Moving Objects, Employee Is Injured In Fall ,Single
Struck By Moving Objects, Employee Fractures Ankle When Struck By Forklift ,Single
Other, Employee Falls And Fractures Leg When Scaffold Collapses ,Single
Electrocution, Employee Killed In Backward Fall Off Roof ,Single
Electrocution, Employee Killed In Fall Off Roof ,Single
Electrocution, Employee Killed In Through Plywood Form Work ,Single
Electrocution, Employee Dies After Fall From Cage On Overhead Monorail ,Single
Electrocution, Employee Injured In Fall From Roof ,Single
Electrocution, Employee Killed When Forklift Overturns Off Drive ,Single
Electrocution, Employee Injured In Fall Over Parapet Wall ,Single
Electrocution, Employee Killed In Fall From Edge Of Roof ,Single
Electrocution, Employee Is Injured In Slip And Fall On Wet Floor ,Single
Electrocution, Employee Dies After Slip And Fall On Wet Floor ,Single
Electrocution, Custodian Is Injured In Fall On Wet Floor ,Single
Electrocution, Two Employees Are Injuried When Struck By Motor Vehicle ,Multiple
Exposure to extreme temperatures, Employee Is Killed When Tractor,Single
Other, Employee Injures Knee In Fall ,Single
Falls, Employee'S Leg Is Fractured In Trip And Fall ,Single
Falls, Employee Is Injured In Fall Into Trench ,Single
Electrocution, Employee Is Killed When Struck By Vehicle ,Single
Suffocation, Employee Amputates Finger In Glass Washing Machine ,Single
Struck By Moving Objects, Employee Crushed Inside Washing Machine ,Single
Struck By Moving Objects, Employee Is Asphyxiated From Clothing Entangled In Machine ,Single
Struck By Moving Objects, Employee Is Injured When Caught In Washing Machine ,Single
Struck By Moving Objects, Employee Is Injured In Fall From Roof ,Single
Struck By Moving Objects, Three Employees Are Poisoned By Carbon Monoxide ,Multiple
Falls, Employee Fractures Foot When Struck By Machine Component ,Single
Struck By Moving Objects, Employee Amputates Finger While Clearing Jammed Brush ,Single
Struck By Moving Objects, Employee Dies After Being Pinned By Washer ,Single
Struck By Moving Objects, Employee Is Scalded By Hot Water From Washing Machine ,Single
Struck By Moving Objects, Employee Is Electrocuted While Repairing Dishwasher ,Single
Other, Employee Is Electrocuted While Servicing Washing Machine ,Single
Struck By Moving Objects, Employee Fractures Toe Repairing Commercial Washing Machine ,Single
Struck By Moving Objects, Employee Entered Rack Washer And Is Killed By Hot Water ,Single
Struck By Moving Objects, Employee'S Finger Is Amputated In Washing Machine ,Single
Struck By Moving Objects, Employee Is Burned In Propane Explosion ,Single
Falls, Employee Is Burned In Propane Explosion ,Single
Falls, Two Employees Receive Burns In Fire ,Multiple
Collapse of object, Employee Dies From Burns Received In Fire ,Single
Falls, Employees And Clients Overcome By Carbon Monoxide Poisoning ,Multiple
Other, Employees Are Burned While Igniting Water Heater ,Multiple
Struck By Moving Objects, Employee Is Burned When Natural Gas Ignites ,Single
Struck By Moving Objects, Employee Is Burned By Hot Condensate ,Single
Falls, Employee Is Injured In Fall From Ladder ,Single
Struck By Moving Objects, Employee Is Found Dead In Tank ,Single
Struck By Moving Objects, Employee Is Burned By Portable Heater ,Single
Struck By Moving Objects, Employee Is Struck By Loose Hose ,Single
Other, Employee'S Finger Is Amputated By Blender ,Single
Struck By Moving Objects, Worker Receives Electric Shock From Ungrounded Dairy Case ,Single
Struck By Moving Objects, Worker Suffers Same Level Fall While Cleaning Pool Deck ,Single
Struck By Moving Objects, Drill Rig Worker Is Killed When Struck By Discharge Hose ,Single
Falls, Employee Breaks Hip In Fall Caused By Tangled Water Hose ,Single
Falls, Employee Cuts Foot When Sprayed By Pressure Washer Nozzle ,Single
Struck By Moving Objects, Employee Suffers 2nd Degree Burns When Scalded By Hot Water ,Single
Struck By Moving Objects, Employee Is Injured In Trench Collapse ,Single
Other, Employee Dies After Strike By Pipe ,Single
Falls, Employee Contacts Saw Blade  Receives Facial Lacerations ,Single
Struck By Moving Objects, Employee Is Burned When Cutting Water Line ,Single
Falls, Employee Is Burned By Broken Hot Water Pipe ,Single
Falls, Employee Seriously Burned From Water Tank System ,Single
Falls, Employee Is Struck And Killed When Platform Collapses ,Single
Caught in/between Objects, Two Employees Are Killed In Building Collapse ,Multiple
Falls, Employee Receives Second,Single
Falls, Employee Seriously Burned By Fermentation Vat Accident ,Single
Falls, Employee Is Injured In Fall From Work Platform ,Single
Falls, Employee Is Injured In Explosion And Fall From Water Tower ,Single
Falls, Employee Is Killed In Fall From Water Tower ,Single
Falls, Flange Strikes Worker Who Falls From Elevation And Is Killed ,Single
Falls, Water Tower Maintenance Worker Is Killed In Fall From Ladder ,Single
Struck By Moving Objects, Employee Injured In Fall While Climbing Water Tower ,Single
Falls, Employee Fall From Water Tower  One Killed And Two Injured ,Single
Falls, Fall From Water Tower Kills Employee ,Single
Falls, Employee Is Killed After Fall From Tower ,Single
Falls, Employee Killed In Fall Into Empty Water Tower ,Single
Falls, Employee Falls From Ladder ,Single
Falls, Employee Killed In Fall From Derrick Boom ,Single
Falls, Employee Is Killed When Struck By Falling Gauge ,Single
Struck By Moving Objects, Employee Killed From 122,Single
Falls, Employee Died As A Result Of A 55 Ft Fall ,Single
Falls, Employee Killed When Crushed In Loom'S Point Of Operation ,Single
Falls, Employee Struck On Head By Lay Beam Of Weaving Loom ,Single
Struck By Moving Objects, Employee Is Killed When Caught In A,Single
Other, Employee Amputates Finger While Repositioning Plate ,Single
Other, Welder Dies Of Natural Causes ,Single
Suffocation, Employee Fractures Leg And Foot When Table Turns Over ,Single
Other, Employee Is Injured By Chop Saw Blade ,Single
Suffocation, Employee Is Crushed Between Lift And Roof ,Single
Struck By Moving Objects, Employee Falls From Elevation ,Single
Caught in/between Objects, Electric Shock ,Single
Struck By Moving Objects, Electric Shock ,Single
Other, Employee Killed In Fall From Roof Beam ,Single
Electrocution, Electric Shock ,Single
Electrocution, Employee Injured In Fall From Railroad Car ,Single
Struck By Moving Objects, Electric Shock ,Single
Falls, Electric Shock ,Single
Other, Fall ,Single
Fires and Explosion, Electric Shock ,Single
Fires and Explosion, Electric Shock ,Single
Fires and Explosion, Electric Shock ,Single
Suffocation, Electric Shock ,Single
Fires and Explosion, Employee Killed In Fall To Concrete Floor ,Single
Fires and Explosion, Employee'S Leg Fractured When Entangled By Welding Lead ,Single
Other, Employee'S Thumb Is Partially Amputated In Weld Machine ,Single
Falls, Employee Amputates Finger In Welding Fixture ,Single
Other, Welder Sustains Electric Shock ,Single
Other, Employee Is Electrocuted By Welding Machine ,Single
Electrocution, Employee Is Electrocuted By Spot Welding Machine ,Single
Falls, Employee Dies From Electric Shock From Welding Electrod ,Single
Other, Employee Burned By A Paint Can Ignition ,Single
Falls, Electric Shock ,Single
Other, Electric Shock ,Single
Other, Electric Shock ,Single
Other, Three Employees Are Burned While Adjusting Gas Well Pressure ,Multiple
Other, Employee Is Struck In Well Gas Release And Is Killed ,Single
Fires and Explosion, Employee Killed  Another Injured When Rig Floor Falls ,Single
Collapse of object, Employee Is Struck By Drill Line And Is Killed ,Single
Fires and Explosion, Employee Electrocuted When Boom Contacts Power Line ,Single
Falls, Employee Is Electrocuted By Overhead Power Line ,Single
Falls, Employee Is Killed When Struck By Falling Sheave ,Single
Falls, Employee Slippes On Walking Surface And Later Dies ,Single
Falls, Emplyee Suffers Heart Attack And Falls From Workover Rig ,Single
Caught in/between Objects, Employee Is Killed In Fall From Broken Ladder ,Single
Struck By Moving Objects, Employee Killed While Operating Service Rig ,Single
Caught in/between Objects, Employee Slips And Falls Into Wellhead ,Single
Other, Employee Dies After Being Struck By Clamp ,Single
Falls, Employee Suffers Fatal Burns When Truck Strikes Oil Wells ,Single
Other, Employee Is Killed When Struck By Large Pipe ,Single
Electrocution, Employee Dies After Being Struck By Well Head ,Single
Electrocution, Employee Is Killed While Working On Well Head ,Single
Electrocution, Employee Is Killed When Struck By Pumping Unit ,Single
Falls, Employee Is Injured When Struck By Well Head ,Single
Falls, Three Employees Receives Burns  One Dies  In Well Fire ,Multiple
Electrocution, Forklift Driver Is Killed When Gas Line Bursts Into Flame ,Single
Electrocution, One Employee Is Killed And Another Injured During Repairs ,Single
Electrocution, Employee Killed In Flash Fire ,Single
Electrocution, Employee'S Fingers Are Crushed On Drill Rig ,Single
Falls, Employee Caught In Flash Fire ,Single
Other, Fatality Occurs Due To Explosion ,Single
